User_ID,Date,Time,Exercise_Type,Exercise_Duration
1,2023-07-03,14:13,Cardio,42
1,2023-07-04,16:51,Yoga,41
1,2023-07-05,06:46,Yoga,58
1,2023-07-06,16:11,HIIT,43
1,2023-07-07,07:41,Cardio,54
1,2023-07-08,14:33,HIIT,48
1,2023-07-09,12:12,Yoga,33
1,2023-07-10,06:11,Cardio,56
1,2023-07-11,05:15,Strength,57
1,2023-07-13,05:24,Strength,55
1,2023-07-14,19:35,Yoga,59
1,2023-07-15,10:53,Strength,37
1,2023-07-16,12:19,Strength,36
1,2023-07-17,11:36,Strength,37
1,2023-07-18,19:12,Strength,49
1,2023-07-19,09:05,Strength,43
1,2023-07-20,15:59,Cardio,55
1,2023-07-21,18:11,HIIT,21
1,2023-07-22,19:48,Strength,28
1,2023-07-23,08:48,HIIT,30
1,2023-07-24,13:38,Yoga,20
1,2023-07-25,16:55,Cardio,55
1,2023-07-26,17:40,Strength,52
1,2023-07-27,10:26,HIIT,29
1,2023-07-28,15:25,HIIT,46
1,2023-07-30,17:44,Strength,59
1,2023-08-02,07:42,Strength,31
1,2023-08-03,08:11,HIIT,56
1,2023-08-05,07:54,Cardio,42
1,2023-08-06,11:46,Yoga,47
1,2023-08-07,08:43,Yoga,58
1,2023-08-09,17:27,HIIT,26
1,2023-08-10,19:57,HIIT,54
1,2023-08-12,17:09,HIIT,50
1,2023-08-13,10:17,Yoga,33
1,2023-08-14,20:53,HIIT,30
1,2023-08-15,13:27,HIIT,50
1,2023-08-16,14:38,Strength,32
1,2023-08-18,06:04,Cardio,47
1,2023-08-21,11:58,HIIT,39
1,2023-08-22,11:17,HIIT,54
1,2023-08-23,06:36,Cardio,49
1,2023-08-25,16:21,HIIT,22
1,2023-08-26,13:08,Cardio,33
1,2023-08-27,08:09,Cardio,34
1,2023-08-28,12:18,Strength,53
1,2023-09-04,19:18,Strength,24
1,2023-09-06,09:11,Cardio,54
1,2023-09-07,08:09,Yoga,52
1,2023-09-08,08:30,Yoga,30
1,2023-09-10,14:00,Cardio,56
1,2023-09-12,14:20,Strength,36
1,2023-09-15,08:12,HIIT,55
1,2023-09-16,13:09,Cardio,37
1,2023-09-17,07:24,HIIT,42
1,2023-09-18,10:10,HIIT,51
1,2023-09-19,18:44,Yoga,21
1,2023-09-20,06:18,Yoga,28
1,2023-09-22,18:27,Cardio,56
1,2023-09-23,19:20,Strength,56
1,2023-09-24,10:06,HIIT,57
1,2023-09-27,18:24,Strength,54
1,2023-09-28,19:29,Yoga,50
1,2023-09-29,16:25,Cardio,36
1,2023-09-30,14:55,HIIT,35
1,2023-10-02,16:59,Yoga,41
1,2023-10-03,13:25,Strength,59
