User_ID,Date,Time,Meal_Type,Carbs_Intake
1,7/2/2023,15:04,Breakfast,83
1,7/2/2023,11:36,Snack,92
1,7/2/2023,6:36,Snack,38
1,7/3/2023,6:06,Snack,50
1,7/3/2023,13:00,Snack,38
1,7/3/2023,10:15,Snack,47
1,7/4/2023,20:52,Breakfast,53
1,7/4/2023,7:00,Lunch,84
1,7/4/2023,6:54,Breakfast,78
1,7/5/2023,10:08,Breakfast,45
1,7/5/2023,13:32,Breakfast,38
1,7/6/2023,20:25,Snack,84
1,7/6/2023,16:27,Dinner,99
1,7/7/2023,20:39,Lunch,89
1,7/7/2023,8:59,Snack,66
1,7/7/2023,16:58,Lunch,64
1,7/7/2023,20:48,Snack,50
1,7/8/2023,12:15,Lunch,59
1,7/8/2023,8:56,Lunch,70
1,7/8/2023,14:46,Breakfast,35
1,7/8/2023,11:02,Dinner,36
1,7/9/2023,10:17,Breakfast,81
1,7/9/2023,20:37,Lunch,50
1,7/9/2023,21:03,Lunch,63
1,7/10/2023,21:49,Breakfast,88
1,7/10/2023,16:16,Breakfast,96
1,7/11/2023,7:39,Dinner,99
1,7/11/2023,21:05,Snack,48
1,7/11/2023,19:38,Snack,53
1,7/12/2023,11:54,Snack,94
1,7/12/2023,12:54,Breakfast,56
1,7/13/2023,17:53,Snack,32
1,7/13/2023,8:13,Snack,44
1,7/14/2023,11:23,Lunch,61
1,7/14/2023,13:49,Dinner,87
1,7/15/2023,13:14,Snack,35
1,7/15/2023,17:27,Dinner,88
1,7/16/2023,7:04,Snack,62
1,7/16/2023,6:00,Breakfast,65
1,7/17/2023,16:56,Breakfast,36
1,7/17/2023,8:37,Breakfast,72
1,7/18/2023,18:05,Breakfast,41
1,7/18/2023,18:57,Breakfast,34
1,7/18/2023,11:25,Lunch,31
1,7/18/2023,20:15,Breakfast,83
1,7/19/2023,12:46,Lunch,60
1,7/19/2023,18:52,Snack,49
1,7/19/2023,10:39,Lunch,56
1,7/19/2023,15:11,Breakfast,72
1,7/20/2023,21:22,Lunch,88
1,7/20/2023,18:59,Lunch,59
1,7/20/2023,9:20,Breakfast,64
1,7/20/2023,17:27,Dinner,34
1,7/21/2023,14:49,Breakfast,59
1,7/21/2023,19:25,Dinner,59
1,7/21/2023,17:16,Dinner,37
1,7/21/2023,20:55,Lunch,60
1,7/22/2023,8:15,Lunch,83
1,7/22/2023,19:00,Dinner,94
1,7/23/2023,11:06,Lunch,85
1,7/23/2023,13:14,Lunch,46
1,7/23/2023,17:15,Snack,31
1,7/24/2023,6:43,Lunch,97
1,7/24/2023,9:32,Breakfast,69
1,7/25/2023,11:12,Breakfast,90
1,7/25/2023,6:10,Lunch,94
1,7/26/2023,20:37,Lunch,33
1,7/26/2023,16:26,Breakfast,63
1,7/26/2023,16:12,Snack,35
1,7/27/2023,13:01,Lunch,58
1,7/27/2023,15:59,Dinner,42
1,7/27/2023,13:47,Dinner,51
1,7/27/2023,6:39,Breakfast,99
1,7/28/2023,19:30,Lunch,53
1,7/28/2023,8:51,Lunch,45
1,7/28/2023,12:23,Breakfast,48
1,7/28/2023,13:01,Dinner,57
1,7/29/2023,13:22,Breakfast,92
1,7/29/2023,21:15,Lunch,31
1,7/30/2023,12:35,Snack,70
1,7/30/2023,11:32,Dinner,53
1,7/30/2023,18:59,Breakfast,90
1,8/1/2023,10:58,Snack,35
1,8/1/2023,10:31,Snack,94
1,8/1/2023,17:29,Lunch,56
1,8/2/2023,11:41,Snack,46
1,8/2/2023,20:23,Dinner,81
1,8/2/2023,8:49,Dinner,84
1,8/2/2023,13:30,Snack,71
1,8/3/2023,19:13,Breakfast,73
1,8/3/2023,19:51,Breakfast,47
1,8/3/2023,7:44,Dinner,71
1,8/4/2023,11:05,Breakfast,45
1,8/4/2023,15:49,Dinner,84
1,8/5/2023,20:52,Lunch,77
1,8/5/2023,9:23,Breakfast,61
1,8/6/2023,18:24,Snack,96
1,8/6/2023,18:29,Breakfast,37
1,8/6/2023,6:15,Dinner,88
1,8/6/2023,7:54,Snack,40
1,8/7/2023,9:41,Breakfast,86
1,8/7/2023,20:13,Dinner,94
1,8/7/2023,20:54,Snack,81
1,8/7/2023,12:21,Snack,67
1,8/8/2023,8:14,Lunch,70
1,8/8/2023,10:18,Snack,85
1,8/8/2023,15:08,Dinner,93
1,8/8/2023,20:13,Snack,34
1,8/9/2023,14:36,Breakfast,63
1,8/9/2023,20:40,Breakfast,49
1,8/9/2023,16:45,Lunch,46
1,8/10/2023,10:25,Lunch,65
1,8/10/2023,20:46,Lunch,74
1,8/11/2023,12:15,Lunch,59
1,8/11/2023,16:39,Breakfast,93
1,8/12/2023,13:34,Snack,40
1,8/12/2023,14:39,Breakfast,61
1,8/13/2023,15:19,Breakfast,40
1,8/13/2023,9:34,Lunch,60
1,8/13/2023,21:55,Snack,63
1,8/14/2023,21:37,Breakfast,63
1,8/14/2023,15:08,Lunch,43
1,8/15/2023,18:13,Dinner,70
1,8/15/2023,13:32,Snack,80
1,8/16/2023,16:56,Breakfast,35
1,8/16/2023,20:23,Dinner,63
1,8/16/2023,13:22,Breakfast,57
1,8/17/2023,16:44,Breakfast,57
1,8/17/2023,7:59,Snack,31
1,8/18/2023,9:22,Breakfast,37
1,8/18/2023,18:19,Dinner,69
1,8/18/2023,14:11,Snack,31
1,8/19/2023,15:17,Dinner,81
1,8/19/2023,11:25,Breakfast,35
1,8/20/2023,10:18,Dinner,47
1,8/20/2023,11:57,Dinner,54
1,8/20/2023,9:32,Lunch,53
1,8/20/2023,10:58,Lunch,45
